Category,CO2,CH4,N2O,Country,Year,CO2eq.kt,EM.Source
cattle subtotal,0,16.8559241088876,1.01834268864878,AUT,2013,724.864223939526,manure management
dairy cattle,0,8.14141164293671,0.3839589654566,AUT,2013,317.955062779485,manure management
non-dairy cattle,0,8.71451246595085,0.63438372319218,AUT,2013,406.909161160041,manure management
indirect n2o emissions,0,0,0.39357722446877,AUT,2013,117.286012891693,manure management
total livestock,0,175.675861415347,1.73447470403883,AUT,2014,4908.76999718724,total
enteric fermentation,0,154.150045821874,0,AUT,2014,3853.75114554685,total
cattle subtotal,0,145.902334894505,0,AUT,2014,3647.55837236262,enteric fermentation
dairy cattle,0,67.9090074037662,0,AUT,2014,1697.72518509415,enteric fermentation
non-dairy cattle,0,77.9933274907387,0,AUT,2014,1949.83318726847,enteric fermentation
manure management,0,21.5258155934729,1.73447470403883,AUT,2014,1055.0188516404,total
cattle subtotal,0,17.4301055271351,1.0399899904687,AUT,2014,745.66965533805,manure management
dairy cattle,0,8.50925075705836,0.39787696767003,AUT,2014,331.298605292128,manure management
non-dairy cattle,0,8.92085477007674,0.64211302279867,AUT,2014,414.371050045922,manure management
indirect n2o emissions,0,0,0.39751535533963,AUT,2014,118.45957589121,manure management
total livestock,0,176.199107604017,1.75803956805607,AUT,2015,4928.87348138113,total
enteric fermentation,0,154.182572539782,0,AUT,2015,3854.56431349454,total
cattle subtotal,0,145.813277443131,0,AUT,2015,3645.33193607828,enteric fermentation
dairy cattle,0,67.6499394509632,0,AUT,2015,1691.24848627408,enteric fermentation
non-dairy cattle,0,78.1633379921679,0,AUT,2015,1954.0834498042,enteric fermentation
manure management,0,22.0165350642351,1.75803956805607,AUT,2015,1074.30916788659,total
cattle subtotal,0,17.9308513684757,1.05894574324021,AUT,2015,763.837115697475,manure management
dairy cattle,0,8.71322650809266,0.40360622980521,AUT,2015,338.105319184269,manure management
non-dairy cattle,0,9.21762486038302,0.655339513435,AUT,2015,425.731796513205,manure management
indirect n2o emissions,0,0,0.4018638241025,AUT,2015,119.755419582545,manure management
total livestock,0,176.952369886161,1.77806601201701,AUT,2016,4953.67291873509,total
enteric fermentation,0,154.549861355995,0,AUT,2016,3863.74653389987,total
cattle subtotal,0,145.981461310707,0,AUT,2016,3649.53653276769,enteric fermentation
dairy cattle,0,68.9887320377852,0,AUT,2016,1724.71830094463,enteric fermentation
non-dairy cattle,0,76.9927292729223,0,AUT,2016,1924.81823182306,enteric fermentation
manure management,0,22.402508530166,1.77806601201701,AUT,2016,1089.92638483522,total
cattle subtotal,0,18.3475406256686,1.07309932053263,AUT,2016,778.472113160439,manure management
dairy cattle,0,9.01935495661124,0.41584281101032,AUT,2016,349.405031596356,manure management
non-dairy cattle,0,9.32818566905738,0.65725650952231,AUT,2016,429.067081564083,manure management
indirect n2o emissions,0,0,0.4058897911911,AUT,2016,120.955157774948,manure management
total livestock,0,177.737495251183,1.81101204838539,AUT,2017,4983.11897169842,total
enteric fermentation,0,154.773718643527,0,AUT,2017,3869.34296608816,total
cattle subtotal,0,145.759451010838,0,AUT,2017,3643.98627527095,enteric fermentation
dairy cattle,0,69.6008945764971,0,AUT,2017,1740.02236441243,enteric fermentation
non-dairy cattle,0,76.158556434341,0,AUT,2017,1903.96391085852,enteric fermentation
manure management,0,22.9637766076566,1.81101204838539,AUT,2017,1113.77600561026,total
cattle subtotal,0,18.8436899583197,1.09161758916044,AUT,2017,796.394290527804,manure management
dairy cattle,0,9.31742720326381,0.4275614948139,AUT,2017,360.349005536137,manure management
non-dairy cattle,0,9.5262627550559,0.66405609434654,AUT,2017,436.045284991666,manure management
indirect n2o emissions,0,0,0.41265233256062,AUT,2017,122.970395103065,manure management
total livestock,0,175.297399171192,1.7894391401095,AUT,2018,4915.68784303243,total
enteric fermentation,0,152.730671351257,0,AUT,2018,3818.26678378142,total
cattle subtotal,0,143.703605672844,0,AUT,2018,3592.5901418211,enteric fermentation
dairy cattle,0,68.9070163004037,0,AUT,2018,1722.67540751009,enteric fermentation
non-dairy cattle,0,74.7965893724403,0,AUT,2018,1869.91473431101,enteric fermentation
manure management,0,22.5667278199353,1.7894391401095,AUT,2018,1097.42105925101,total
cattle subtotal,0,18.4904069377928,1.07432983436793,AUT,2018,782.410464086462,manure management
dairy cattle,0,9.11954913003991,0.42158346827804,AUT,2018,353.620601797854,manure management
non-dairy cattle,0,9.37085780775284,0.65274636608989,AUT,2018,428.789862288608,manure management
indirect n2o emissions,0,0,0.41177927991375,AUT,2018,122.710225414298,manure management
