Country,Year,CO2eq,N2O.PRP,CO2.PRP,kt.CO2,Total.Area.kha,Land.Use.EM,Total.CO2eq,Total.CO2eq.ha,CO2eq.ha
LTU,2017,2409.16694585863,0.575665472573676,171.548310826955,2237.61863503168,1966.700891629,-96.7114132458682,2140.90722178581,1.08857794843044,1.1377523875419
LTU,2018,2309.26761862337,0.562193794540767,167.533750773149,2141.73386785023,1974.28816410432,-125.295662392898,2016.43820545733,1.02134948794171,1.0848132034575
LTU,2019,2380.64555973925,0.552227260440967,164.563723611408,2216.08183612784,1989.46270905496,-154.249730225823,2061.83210590202,1.03637635252859,1.11390971343239
LTU,2020,2636.4779635994,0.537113278789079,160.059757079146,2476.41820652025,2015.01983739288,-436.909830491065,2039.50837602918,1.01215300126672,1.22897956663511
LTU,2021,2392.73731633199,0.533197205649083,158.892767283427,2233.84454904856,2038.97964520968,-420.152496742748,1813.69205230581,0.889509641043669,1.09556981321353
LUX,1990,170.047464060341,0.0944914711613702,28.1584584060883,141.889005654253,60.923175,44.7796900721455,186.668695726398,3.06400143666836,2.32898245461194
LUX,1991,174.320275629896,0.0966718387085269,28.808207935141,145.512067694755,60.5711,44.7824510053607,190.294518700116,3.14167183194818,2.40233490385275
LUX,1992,178.196840221966,0.0934432745549154,27.8460958173648,150.350744404601,60.219025,44.7852114552813,195.135955859883,3.24043698581773,2.49673162932481
LUX,1993,170.174636517871,0.0939234988410895,27.9892026546447,142.185433863226,59.86695,44.7879714220767,186.973405285303,3.12314900433883,2.37502384643323
LUX,1994,164.573029848246,0.093494879403823,27.8614740623393,136.711555785907,59.514875,44.7907309059157,181.502286691822,3.0496961758186,2.29709893175289
LUX,1995,165.577490002044,0.0964683317287445,28.7475628551659,136.829927146878,59.1628,44.7934899069684,181.623417053846,3.06989217977929,2.31276963137103
LUX,1996,167.208639307285,0.0981663833430306,29.2535822362231,137.955057071062,58.810725,44.7962484254013,182.751305496464,3.10744860731548,2.34574658059499
LUX,1997,164.479793219437,0.0955710223829293,28.480164670113,135.999628549325,58.45865,44.7990064613847,180.798635010709,3.09276103725812,2.32642437944298
LUX,1998,162.680639925403,0.0945735594178834,28.1829207065293,134.497719218874,58.106575,44.801764015089,179.299483233963,3.08570042605269,2.31467298182476
LUX,1999,165.58914688753,0.0950993552368462,28.3396078605802,137.24953902695,57.7545,44.8045210866789,182.054060113629,3.15220563096605,2.37643021802543
LUX,2000,162.712098105869,0.094682014542854,28.2152403337705,134.496857772098,58.3189375,49.6731522002614,184.17000997236,3.15797951518509,2.30622956346038
LUX,2001,149.851967731328,0.0941163955297301,28.0466858678596,121.805281863469,58.883375,49.4593424675096,171.264624330979,2.90853953821394,2.06858526474525
LUX,2002,150.476664957634,0.0913859720323362,27.2330196656362,123.243645291998,59.4478125,68.0254951722565,191.269140464255,3.21742941280227,2.07314012255705
LUX,2003,135.209569404465,0.0892453035802852,26.595100466925,108.61446893754,60.01225,67.8116854395038,176.426154377044,2.93983568983072,1.80987163350049
LUX,2004,153.142772762035,0.0893854858217033,26.6368747748676,126.505897987168,60.5766875,67.5978757067512,194.103773693919,3.20426523312155,2.08835945324953
LUX,2005,143.830493996336,0.0886686310087029,26.4232520405935,117.407241955742,61.141125,67.3840659739992,184.791307929741,3.02237336865721,1.92026630121285
LUX,2006,143.089304597186,0.0890417308802372,26.5344358023107,116.554868794875,61.7055625,67.170256241245,183.72512503612,2.97744834651042,1.88888755037077
LUX,2007,141.262838798692,0.0931188203195229,27.7494084552178,113.513430343475,62.27,66.9564465084939,180.469876851969,2.89818334433866,1.82292324302995
LUX,2008,144.085452075374,0.0954847747150655,28.4544628650895,115.630989210284,62.0788,61.7567869210985,177.387776131383,2.85746142211806,1.86264858873374
LUX,2009,143.287987119797,0.0951099809968009,28.3427743370467,114.94521278275,61.8876,62.2555574237766,177.200770206527,2.86326776618461,1.85732219027318
LUX,2010,145.80512098923,0.0974441583333356,29.038359183334,116.766761805896,61.6964,62.8435887930845,179.610350598981,2.91119661113097,1.89260251499109
LUX,2011,147.118885660033,0.0932574786201718,27.7907286288112,119.328157031222,61.5052,63.3424216168817,182.670578648104,2.97000218921496,1.940131192667
LUX,2012,142.472475345914,0.0897669543624911,26.7505524000224,115.721922945892,61.314,63.8412502383436,179.563173184235,2.9285835728257,1.88736541321544
LUX,2013,141.874623009472,0.0902070266998589,26.8816939565579,114.992929052914,61.1939166666667,39.1954513001502,154.188380353064,2.51966843686364,1.87915621873493
LUX,2014,141.972177725193,0.0927675943056816,27.6447431030931,114.3274346221,61.0738333333334,38.9920380360525,153.319472658152,2.51039543926044,1.8719544587633
LUX,2015,141.985952513,0.0933247981615045,27.8107898521283,114.175162660872,60.95375,38.788627034013,152.963789694885,2.50950580882858,1.87314418983035
LUX,2016,146.742435690346,0.0927510452172925,27.6398114747532,119.102624215593,60.5555,28.2291713938899,147.331795609482,2.433004361445,1.96683413093101
LUX,2017,148.575219708714,0.0919995244236698,27.4158582782536,121.159361430461,60.15725,28.0370694672667,149.196430897728,2.48010723391989,2.01404421629082
LUX,2018,145.095220029328,0.0881702140664903,26.2747237918141,118.820496237514,59.759,27.8449698698574,146.665466107371,2.45428246970952,1.9883280549794
LUX,2019,145.072279345466,0.0839669527321676,25.022151914186,120.05012743128,59.36075,27.652868632908,147.702996064188,2.48822658177647,2.02238225479428
